specimen	group	lane	smrtcell
HG002	HPRC	placeholder_for_HPRC_revio_data	m84039_230117_233243_s1.hifi_reads.default
894	sudmant	PBmixRevio1412_1_D01_PEWA_24hours_19kbExpressCCSv3190pM2hrPE_200pM_HumanSudmant1894_CCSExpressIndex	m84053_230601_202536_s4.hifi_reads.bc2050
894	sudmant	PBmixRevio1417_1_D01_PFBE_24hours_22kbExpressCCSv32hrPE_200pM_HumanSudmant1894_CCSExpressIndex	m84053_230629_234400_s4.hifi_reads.bc2068
895	sudmant	PBmixRevio1417_2_A01_PFBF_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant2895_CCSExpressIndex	m84053_230630_222948_s1.hifi_reads.bc2069
895	sudmant	PBmixRevio1417_2_B01_PFBF_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant2895_CCSExpressIndex	m84053_230630_230054_s2.hifi_reads.bc2069
898	sudmant	PBmixRevio1429_1_C01_PFCR_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant3898_CCSExpressIndex	m84053_230801_204324_s3.hifi_reads.bc2089
898	sudmant	PBmixRevio1417_2_C01_PFBG_24hours_23kbExpressCCSv32hrPE_200pM_HumanSudmant3898_CCSExpressIndex	m84053_230630_233200_s3.hifi_reads.bc2070
901	sudmant	PBmixRevio1419_2_A01_PFBH_24hours_21kb200pmCCSv32hrPreExtbc2071_200pM_HumanSudmant6901_CCSExpressIndex	m84053_230703_161700_s1.hifi_reads.bc2071
901	sudmant	PBmixRevio1419_2_B01_PFBH_24hours_21kb200pmCCSv32hrPreExtbc2071_200pM_HumanSudmant6901_CCSExpressIndex	m84053_230703_164807_s2.hifi_reads.bc2071
899	sudmant	PBmixRevio1443_2_A01_PFIB_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant7899_bc2019_CCSExpressIndex	m84053_230908_185731_s4.hifi_reads.bc2019
5619	sudmant	PBmixRevio1443_2_C01_PFID_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant95619_bc2021_CCSExpressIndex	m84053_230908_195942_s2.hifi_reads.bc2021
5621	sudmant	PBmixRevio1443_2_D01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230908_203048_s3.hifi_reads.bc2022
899	sudmant	PBmixRevio1444_1_A01_PFIB_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant7899_bc2019_CCSExpressIndex	m84053_230911_203330_s4.hifi_reads.bc2019
5619	sudmant	PBmixRevio1444_1_C01_PFID_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant95619_bc2021_CCSExpressIndex	m84053_230911_213500_s2.hifi_reads.bc2021
5621	sudmant	PBmixRevio1444_1_D01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230911_220606_s3.hifi_reads.bc2022
5980	sudmant	PBmixRevio1445_1_D01_PFIF_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant115980_bc2023_CCSExpressIndex	m84139_230913_161502_s4.hifi_reads.bc2023
5621	sudmant	PBmixRevio1450_1_A01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230919_195135_s1.hifi_reads.bc2022
5980	sudmant	PBmixRevio1450_1_B01_PFIF_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant115980_bc2023_CCSExpressIndex	m84053_230919_202201_s2.hifi_reads.bc2023
PD46180c	rahbari	placeholder_for_rahbari_data	PD46180c
PD50477f	rahbari	placeholder_for_rahbari_data	PD50477f
PD50489e	rahbari	placeholder_for_rahbari_data	PD50489e
PD50508b	rahbari	placeholder_for_rahbari_data	PD50508b
PD50508f	rahbari	placeholder_for_rahbari_data	PD50508f
PD50519d	rahbari	placeholder_for_rahbari_data	PD50519d
PD50521b	rahbari	placeholder_for_rahbari_data	PD50521b
PD50521e	rahbari	placeholder_for_rahbari_data	PD50521e
PD50523b	rahbari	placeholder_for_rahbari_data	PD50523b
900	sudmant	PBmixRevio1489_2_C01_PFTP_30hours_22kbExpressCCSv32hrPE_200pM_HumanSudmant8900_bc2026_CCSExpressIndex	m84139_231209_042722_s3.hifi_reads.bc2026
900	sudmant	PBmixRevio1489_2_D01_PFTP_30hours_22kbExpressCCSv32hrPE_200pM_HumanSudmant8900_bc2026_CCSExpressIndex	m84139_231209_045828_s4.hifi_reads.bc2026
TSC6830	sudmant	PBmixRevio1654_1_A01_PIRW_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant12TSC-6830_bc2017_CCSExpressIndex	m84053_241017_190037_s1.hifi_reads.bc2017
TSC6830	sudmant	PBmixRevio1654_1_B01_PIRW_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant12TSC-6830_bc2017_CCSExpressIndex	m84053_241017_205952_s2.hifi_reads.bc2017
ASD6058	sudmant	PBmixRevio1654_1_C01_PIRX_30hours_20kbExpressCCSv32hrPE_250pM_Sudmant14ASD-6058_bc2018_CCSExpressIndex	m84053_241017_225904_s3.hifi_reads.bc2018
ASD6058	sudmant	PBmixRevio1654_1_D01_PIRX_30hours_20kbExpressCCSv32hrPE_250pM_Sudmant14ASD-6058_bc2018_CCSExpressIndex	m84053_241018_005823_s4.hifi_reads.bc2018
TSC7237	sudmant	PBmixRevio1654_2_A01_PISU_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant13TSC-7237_bc2007_CCSExpressIndex	m84053_241019_045220_s1.hifi_reads.bc2007
TSC7237	sudmant	PBmixRevio1654_2_B01_PISU_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant13TSC-7237_bc2007_CCSExpressIndex	m84053_241019_065131_s2.hifi_reads.bc2007
0068	sudmant	PBmixRevio1654_2_C01_PISW_30hours_22kbExpressCCSv32hrPE_250pM_Sudmant21DLS-00068_bc2008_CCSExpressIndex	m84053_241019_085051_s3.hifi_reads.bc2008
0068	sudmant	PBmixRevio1654_2_D01_PISW_30hours_22kbExpressCCSv32hrPE_250pM_Sudmant21DLS-00068_bc2008_CCSExpressIndex	m84053_241019_105019_s4.hifi_reads.bc2008
ASD6463	sudmant	PBmixRevio1656_1_B01_PITM_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant15ASD-6463_bc2023_CCSExpressIndex	m84053_241021_203102_s2.hifi_reads.bc2023
ASD6463	sudmant	PBmixRevio1656_1_A01_PITM_30hours_23kbExpressCCSv32hrPE_250pM_Sudmant15ASD-6463_bc2023_CCSExpressIndex	m84053_241021_183130_s1.hifi_reads.bc2023
